D_INTERVIEW,Q132,Q133,Q134,Q135,Q136,Q137,Q138
170071759,4,3,4,4,4,4,4
170071762,3,2,4,4,3,3,3
170071765,3,1,3,3,1,3,3
170071768,4,4,4,4,3,3,4
170071773,4,4,3,3,4,4,4
170071776,4,3,4,4,4,4,4
170071780,3,1,3,4,2,4,4
170071839,2,2,2,2,2,3,3
170071849,3,4,3,4,4,4,4
170071850,2,2,3,3,2,2,3
170071852,3,1,4,4,1,3,3
170071853,3,3,3,4,3,3,3
170071859,3,3,3,3,2,4,4
170071861,3,1,4,3,1,1,3
170071862,3,1,3,3,3,3,3
170071864,3,3,3,3,3,4,3
170071866,1,1,1,3,1,1,3
170071868,3,1,3,3,3,3,4
170071869,3,2,4,4,3,3,3
170071870,3,3,3,3,3,3,3
170071873,3,3,4,4,4,3,4
170071894,3,2,3,3,2,3,1
170071907,3,3,3,4,4,4,4
170071911,1,1,3,3,1,3,3
170071913,3,1,3,3,4,3,3
170071923,3,3,3,4,3,3,4
170071924,3,3,3,3,1,2,3
170071933,3,3,3,3,4,3,3
170071940,3,2,3,2,3,2,3
170071941,1,1,3,4,1,1,4
170072103,4,4,4,4,4,4,4
170072112,3,3,4,4,1,3,4
170072137,1,1,4,1,1,1,1
170072151,1,1,3,1,1,2,1
170072161,3,1,4,4,1,1,1
170072173,4,3,3,4,3,3,4
170072181,3,3,4,4,1,1,3
170072185,3,2,3,3,1,3,3
170072186,3,1,1,3,1,3,3
170072191,3,1,4,4,4,4,4
170072192,3,1,3,3,1,3,3
170072193,3,3,4,3,4,4,4
170072194,2,2,3,3,2,2,2
170072195,1,1,1,3,1,1,1
170072196,3,1,3,3,1,3,3
170072201,3,1,3,4,1,1,4
170072221,3,1,3,3,1,3,3
170072250,4,3,4,4,4,4,4
170072251,2,1,4,4,3,3,2
170072252,3,1,3,4,1,4,4
170072254,4,1,3,3,1,4,4
170072267,3,1,2,3,3,3,3
170072268,3,3,4,4,1,4,4
170072269,3,1,3,3,1,1,4
170072273,1,2,3,3,2,1,2
170072295,3,2,3,3,3,3,3
170072306,3,4,4,2,1,2,4
170072349,4,3,3,3,3,4,4
170072360,3,1,4,4,3,3,3
170072362,3,1,3,3,2,3,4
170072372,3,2,4,4,4,3,4
170072375,3,3,3,3,3,3,3
170072388,3,2,4,4,3,3,3
170072414,3,2,4,3,1,3,3
170072419,2,1,3,3,1,2,2
170072422,3,1,4,4,4,4,4
170072423,3,1,1,4,3,1,4
170072437,2,2,3,3,1,1,2
170072455,2,2,4,4,1,1,4
170072499,3,3,2,4,4,3,3
170072505,1,1,1,3,1,1,1
170072508,2,2,2,2,2,2,2
170072509,4,3,3,3,3,3,3
170072560,1,1,4,3,1,1,1
170072569,1,1,1,1,1,1,4
170072570,1,4,3,4,3,4,4
170072572,3,3,3,3,1,1,1
170072605,4,3,4,3,4,4,4
170072606,2,1,3,3,1,1,3
170072607,1,2,3,4,1,1,1
170072614,4,4,4,4,4,4,4
170072615,3,3,3,3,2,3,3
170072617,3,4,4,4,4,4,4
170072620,2,1,1,1,1,1,1
170072621,3,3,3,3,2,3,3
170072641,3,3,4,3,4,4,4
170072642,3,3,4,4,4,4,4
170072645,3,2,3,4,3,3,3
170072648,4,4,3,4,3,3,3
170072649,2,2,4,4,4,2,2
170072650,3,2,4,4,4,4,3
170072652,4,2,4,4,4,4,4
170072654,3,2,3,4,2,2,4
170072672,4,1,3,3,3,3,3
170072675,3,1,1,3,3,1,3
170072676,3,1,4,4,1,1,1
170072687,3,1,4,3,1,1,3
170072694,1,1,3,3,1,1,3
170072700,3,1,3,4,1,4,4
170072701,1,1,4,4,1,1,1
170072727,3,3,3,4,4,4,4
170072728,3,1,3,4,1,4,4
170072744,3,3,3,4,4,4,4
170072752,3,3,3,4,4,4,4
170072762,3,3,3,3,3,3,3
170072768,1,1,3,3,1,1,3
170072802,1,1,1,3,3,1,1
170072803,1,1,3,4,2,2,4
170072813,4,4,4,4,4,4,4
170072814,4,3,3,4,3,4,4
170072816,3,3,3,3,3,3,3
170072818,2,2,3,2,3,1,3
170072819,3,2,3,4,3,3,4
170072918,3,3,3,3,3,3,3
170072919,2,2,3,2,3,2,3
170072942,3,2,4,4,1,3,3
170072948,1,3,1,4,1,3,3
170072976,2,1,4,4,1,1,3
170072987,3,3,3,3,3,3,3
170072998,3,3,3,4,4,3,3
170073070,1,4,3,1,4,4,4
170073076,3,4,4,4,4,4,4
170073124,2,2,3,3,2,1,3
170073125,1,4,1,1,1,1,1
170073138,1,3,4,4,2,1,4
170073164,3,3,4,4,4,4,4
170073199,4,2,3,3,3,3,3
170073201,3,1,1,4,3,2,3
170073309,3,1,3,3,1,3,3
170073330,2,4,3,4,2,3,4
170073335,1,1,1,1,1,1,1
170073339,1,1,1,1,4,4,4
170073345,3,3,3,3,3,3,3
170073353,2,2,4,2,4,4,4
