D_INTERVIEW,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,Q102,Q103,Q104
170071566,0,0,0,0,0,0,0,0,0,0,0
170071573,2,0,0,0,0,0,0,0,0,0,0
170071586,2,2,1,0,0,1,2,2,2,1,2
170071589,0,2,1,0,0,1,0,0,0,0,0
170071594,2,1,1,0,0,0,1,1,0,1,1
170071602,2,0,0,0,0,0,0,0,2,0,0
170071605,2,0,2,0,0,2,1,1,0,0,0
170071608,2,2,2,0,0,2,0,1,0,2,0
170071612,0,0,2,0,0,0,0,0,0,0,1
170071621,2,1,1,1,1,1,1,0,0,0,0
170071622,1,0,1,0,0,0,0,0,0,0,0
170071623,1,2,0,0,0,0,0,0,0,0,0
170071624,2,1,1,2,1,1,2,1,1,1,2
170071626,1,1,1,1,1,1,1,1,1,1,2
170071629,1,1,1,1,1,1,1,1,1,1,1
170071634,2,2,2,1,1,1,1,1,1,1,1
170071637,1,1,1,1,1,1,1,1,1,1,1
170071638,0,2,2,0,0,2,2,0,0,0,0
170071639,2,0,0,0,0,0,0,0,0,0,0
170071642,1,1,1,1,1,1,1,1,1,1,1
170071643,1,2,2,1,1,2,2,2,2,2,2
170071727,2,1,1,1,1,2,1,1,1,1,1
170071728,0,0,0,0,0,0,0,0,0,0,0
170071729,0,0,0,0,0,0,0,0,0,0,0
170071730,2,0,0,0,0,0,0,0,0,0,0
170071735,0,2,0,0,0,0,0,1,0,0,0
170071739,1,1,0,0,0,0,0,0,0,0,0
170071748,0,0,0,0,0,0,0,0,0,0,0
170071751,0,0,0,0,0,0,0,0,0,0,0
170071752,2,0,0,0,0,0,0,0,0,0,0
170071755,2,1,1,1,0,0,0,0,0,0,0
170071759,0,0,0,0,0,0,0,0,0,1,0
170071762,0,1,0,0,0,0,0,0,0,0,0
170071765,0,0,0,0,0,2,0,0,0,0,0
170071768,1,2,0,0,0,1,1,1,0,0,0
170071773,1,0,1,0,0,1,2,2,1,2,2
170071776,1,0,0,0,0,1,0,0,0,0,0
170071780,2,2,2,0,1,1,0,0,1,0,1
170071839,2,2,1,0,0,0,0,0,0,0,0
170071849,1,1,1,2,1,1,2,1,1,1,1
170071850,2,2,1,1,1,1,1,1,1,1,1
170071852,1,1,1,1,1,1,1,1,1,1,1
170071853,1,0,0,0,0,0,0,0,0,0,0
170071859,2,1,2,0,0,0,0,0,0,0,0
170071861,2,1,1,1,1,1,2,1,1,1,1
170071862,2,2,1,1,1,1,1,1,1,1,1
170071864,1,0,0,0,0,0,0,0,0,0,0
170071866,0,0,0,0,0,0,2,0,0,0,0
170071868,2,1,1,1,1,1,1,1,1,1,1
170071869,0,0,0,0,0,0,0,0,0,0,0
170071870,2,1,2,0,0,0,0,0,0,0,0
170071873,0,1,1,0,0,0,0,0,0,0,0
170071894,0,0,0,0,0,0,0,0,0,0,0
170071907,1,2,2,1,1,1,1,1,1,1,1
170071911,2,0,0,0,0,0,0,0,0,0,0
170071913,0,0,2,0,0,0,0,0,0,0,0
170071923,0,0,0,0,0,0,0,0,0,0,0
170071924,0,0,0,0,0,0,0,0,0,0,0
170071933,2,0,0,0,0,0,0,0,0,0,0
170071940,2,0,0,0,0,0,0,0,0,0,0
170071941,1,1,2,1,2,2,1,2,1,2,2
170072103,0,0,0,0,0,0,0,0,0,0,0
170072112,1,1,1,1,1,1,0,0,0,0,0
170072137,0,0,0,0,0,0,0,0,0,0,0
170072151,0,0,0,0,0,0,0,0,0,0,0
170072161,2,2,2,0,0,0,1,1,1,1,1
170072173,2,2,1,0,2,2,2,2,2,2,2
170072181,0,0,0,0,0,1,0,0,0,0,0
170072185,2,0,0,0,0,0,0,0,0,0,0
170072186,2,0,0,0,0,0,0,0,0,0,0
170072191,0,0,0,0,0,0,0,0,0,0,0
170072192,2,1,0,0,0,0,0,0,0,0,0
170072193,2,2,1,1,0,2,2,1,1,1,1
170072194,2,2,1,1,1,2,2,2,0,1,1
170072195,0,0,0,0,0,0,0,0,0,0,0
170072196,2,1,1,1,1,1,1,1,1,1,1
170072201,2,2,2,1,1,1,1,2,2,2,1
170072221,0,0,0,0,0,0,0,0,0,0,0
