D_INTERVIEW,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41
300070190,4,2,2,4,2,2,3,2,2
300070191,4,2,3,3,4,2,4,4,3
300070192,4,2,3,3,4,2,4,4,3
300070193,4,2,4,4,2,2,4,2,3
300070194,2,2,2,4,2,3,2,2,2
300070195,4,2,3,4,4,4,2,3,2
300070196,4,2,3,3,3,2,3,4,3
300070197,4,3,4,3,4,2,3,3,4
300070198,2,2,4,3,4,2,4,4,3
300070199,4,2,3,3,4,3,4,3,4
300070200,4,4,4,3,4,3,4,4,3
300070201,2,2,3,3,3,3,2,2,2
300070202,2,1,2,4,1,1,1,1,1
300070203,4,2,4,4,2,4,2,2,2
300070204,4,1,4,4,2,2,4,2,2
300070205,3,1,2,5,2,1,1,1,1
300070206,4,4,1,4,1,3,1,1,1
300070207,3,4,5,4,5,2,5,5,5
300070208,5,4,5,2,2,2,3,2,2
300070209,5,1,4,5,1,1,1,1,1
300070210,3,5,2,4,2,4,1,1,1
300070211,3,2,2,5,1,2,1,1,2
300070212,5,3,4,3,2,2,2,2,2
300070213,5,3,4,5,1,1,2,1,2
300070214,2,1,3,5,1,2,1,1,1
300070215,2,3,5,4,1,1,1,2,1
300070216,5,5,2,3,4,3,2,2,4
300070217,4,2,5,3,2,2,5,2,1
300070218,5,2,4,4,2,2,3,2,1
300070219,4,4,4,4,4,4,4,4,4
300070220,4,2,5,4,1,1,1,1,2
300070221,5,1,4,4,2,2,3,1,1
300070222,4,2,1,5,1,2,4,1,2
300070223,4,1,1,5,1,1,1,1,1
300070224,4,2,4,4,2,2,1,2,2
300070225,4,1,4,4,2,1,2,2,2
300070226,4,1,5,4,2,1,1,1,2
300070227,3,2,5,4,3,2,2,3,2
300070228,2,1,2,5,2,1,2,1,1
300070229,3,1,3,4,2,2,4,2,4
300070230,4,2,3,5,1,1,2,1,1
300070231,2,2,3,4,1,2,1,1,1
300070232,4,1,4,5,1,1,2,1,1
300070233,4,1,3,5,1,1,2,1,2
300070234,4,1,5,4,2,1,1,1,1
300070235,2,1,4,4,1,1,1,1,1
300070236,3,4,4,4,4,4,4,3,2
300070237,3,2,2,3,3,3,2,2,2
300070238,2,1,3,5,2,1,2,1,1
300070239,5,1,2,4,1,1,2,1,1
300070240,4,2,5,2,1,1,4,2,2
300070241,3,3,3,5,2,2,1,2,2
300070242,4,2,4,-1,3,4,-1,3,4
300070243,2,3,2,5,2,2,3,3,2
