D_INTERVIEW,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41
300070160,4.0,3.0,5.0,3.0,3.0,2.0,3.0,2.0,3.0
300070161,4.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0
300070162,1.0,3.0,1.0,5.0,3.0,2.0,4.0,3.0,3.0
300070163,2.0,2.0,2.0,5.0,4.0,3.0,4.0,2.0,2.0
300070164,4.0,4.0,2.0,-1.0,2.0,4.0,4.0,3.0,2.0
300070165,2.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0
300070166,3.0,5.0,4.0,5.0,3.0,1.0,3.0,2.0,3.0
300070167,4.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,2.0
300070168,2.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0
300070169,4.0,3.0,4.0,5.0,3.0,2.0,3.0,4.0,3.0
300070170,3.0,2.0,4.0,5.0,4.0,2.0,3.0,3.0,4.0
300070171,3.0,2.0,4.0,5.0,2.0,2.0,2.0,3.0,4.0
300070172,2.0,4.0,5.0,5.0,2.0,2.0,5.0,3.0,2.0
300070173,4.0,5.0,4.0,5.0,3.0,3.0,5.0,4.0,3.0
300070174,1.0,5.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0
300070175,4.0,1.0,3.0,5.0,3.0,2.0,4.0,3.0,4.0
300070176,1.0,2.0,2.0,5.0,3.0,2.0,4.0,4.0,3.0
300070177,2.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,2.0
300070178,1.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0
300070179,5.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0
300070180,1.0,3.0,4.0,4.0,3.0,1.0,2.0,4.0,3.0
300070181,3.0,2.0,2.0,-1.0,3.0,4.0,2.0,3.0,2.0
300070182,5.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0
300070183,4.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0
300070184,4.0,3.0,1.0,-1.0,2.0,4.0,2.0,2.0,2.0
300070185,5.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,2.0
300070186,4.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0
300070187,4.0,2.0,3.0,-1.0,3.0,2.0,2.0,2.0,2.0
300070188,4.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0
300070189,5.0,3.0,4.0,-1.0,3.0,2.0,2.0,2.0,2.0
300070190,4.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0
300070191,4.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0
300070192,4.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0
300070193,4.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,3.0
300070194,2.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0
300070195,4.0,2.0,3.0,4.0,4.0,4.0,2.0,3.0,2.0
300070196,4.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0
300070197,4.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0
300070198,2.0,2.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0
300070199,4.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0
300070200,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0
300070201,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0
300070202,2.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0
300070203,4.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0
300070204,4.0,1.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0
300070205,3.0,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0
300070206,4.0,4.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0
300070207,3.0,4.0,5.0,4.0,5.0,2.0,5.0,5.0,5.0
300070208,5.0,4.0,5.0,2.0,2.0,2.0,3.0,2.0,2.0
300070209,5.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0
300070210,3.0,5.0,2.0,4.0,2.0,4.0,1.0,1.0,1.0
300070211,3.0,2.0,2.0,5.0,1.0,2.0,1.0,1.0,2.0
300070212,5.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0
300070213,5.0,3.0,4.0,5.0,1.0,1.0,2.0,1.0,2.0
300070214,2.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,1.0
300070215,2.0,3.0,5.0,4.0,1.0,1.0,1.0,2.0,1.0
300070216,5.0,5.0,2.0,3.0,4.0,3.0,2.0,2.0,4.0
300070217,4.0,2.0,5.0,3.0,2.0,2.0,5.0,2.0,1.0
300070218,5.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,1.0
300070219,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
300070220,4.0,2.0,5.0,4.0,1.0,1.0,1.0,1.0,2.0
300070221,5.0,1.0,4.0,4.0,2.0,2.0,3.0,1.0,1.0
300070222,4.0,2.0,1.0,5.0,1.0,2.0,4.0,1.0,2.0
300070223,4.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
300070224,4.0,2.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0
300070225,4.0,1.0,4.0,4.0,2.0,1.0,2.0,2.0,2.0
300070226,4.0,1.0,5.0,4.0,2.0,1.0,1.0,1.0,2.0
300070227,3.0,2.0,5.0,4.0,3.0,2.0,2.0,3.0,2.0
300070228,2.0,1.0,2.0,5.0,2.0,1.0,2.0,1.0,1.0
300070229,3.0,1.0,3.0,4.0,2.0,2.0,4.0,2.0,4.0
300070230,4.0,2.0,3.0,5.0,1.0,1.0,2.0,1.0,1.0
300070231,2.0,2.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0
