D_INTERVIEW,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,Q102,Q103,Q104
604070247,0,0,0,0,0,0,0,0,0,0,0
604070248,0,1,0,0,0,0,0,0,0,0,0
604070249,2,2,0,0,1,0,0,0,0,0,0
604070250,0,0,0,0,0,0,0,0,0,0,0
604070251,1,1,0,0,0,0,0,0,0,0,0
604070252,1,0,0,0,0,0,0,0,0,0,0
604070253,1,1,1,0,0,0,0,0,0,0,0
604070254,0,0,0,0,0,0,0,0,0,0,0
604070255,0,2,0,0,0,0,0,0,0,0,0
604070256,0,0,0,0,0,0,2,0,0,0,0
604070257,1,0,0,0,0,0,0,0,0,0,0
604070258,0,0,0,0,0,0,0,0,0,0,0
604070259,0,0,0,0,0,0,0,0,0,0,0
604070260,0,0,0,0,0,0,0,0,0,0,0
604070261,2,2,0,0,0,0,0,0,0,0,0
604070262,0,2,0,0,0,0,0,0,0,0,0
604070263,1,0,0,0,0,0,0,0,0,0,0
604070264,0,0,0,0,0,0,0,0,0,0,0
604070265,1,0,0,0,0,0,0,0,0,0,0
604070266,2,0,0,0,0,0,0,0,0,0,0
604070267,0,0,0,0,0,0,0,0,0,0,0
604070268,0,0,0,0,0,0,0,0,0,0,0
604070269,1,0,0,0,0,0,0,0,0,0,0
604070270,0,0,0,0,0,0,0,0,0,0,0
604070271,0,0,0,0,0,0,0,0,0,0,0
604070272,0,0,0,0,0,0,0,0,0,0,0
604070273,0,0,0,0,0,0,0,0,0,0,0
604070274,0,0,1,0,0,0,0,0,0,0,0
604070275,1,0,0,0,0,0,0,0,0,0,0
604070276,0,0,0,0,0,0,0,0,0,0,0
604070277,0,0,0,0,0,0,0,0,0,0,0
604070278,0,0,0,0,0,0,0,0,0,0,0
604070279,0,0,0,0,0,0,0,0,0,0,0
604070280,0,0,0,0,0,0,0,0,0,0,0
604070281,0,0,0,0,0,0,0,0,0,0,0
604070282,0,0,0,0,0,0,0,0,0,0,0
604070283,0,0,0,0,0,0,0,0,0,0,0
604070284,2,0,0,0,0,0,0,2,0,0,0
604070285,0,0,0,0,0,0,0,0,0,0,0
604070286,1,0,0,0,0,0,0,1,0,0,0
604070287,0,0,0,0,0,0,0,0,0,0,0
604070288,1,0,0,0,1,0,0,1,0,0,0
604070289,1,2,0,0,0,0,0,2,0,0,0
604070290,0,1,0,0,0,0,0,0,0,0,0
604070291,0,0,0,0,0,0,0,0,0,0,0
604070292,0,0,0,0,0,0,0,0,0,0,0
604070293,1,0,0,0,0,0,0,0,0,0,0
604070294,0,0,0,0,0,0,0,0,0,0,0
604070295,0,0,0,0,0,0,0,0,0,0,0
604070296,2,0,0,0,0,0,0,0,0,0,0
604070297,1,0,0,0,0,0,0,0,0,0,0
604070298,0,0,2,0,0,0,0,0,0,2,0
604070299,1,0,0,0,0,0,0,0,0,0,0
604070300,0,2,0,0,0,0,0,0,0,1,0
604070301,0,0,0,0,0,0,0,0,0,0,0
604070302,0,0,0,0,0,0,0,0,0,0,0
604070303,0,0,0,0,0,0,0,0,0,0,0
604070304,0,0,0,0,0,0,2,0,0,0,0
604070305,0,0,0,0,0,0,0,0,0,0,0
604070306,0,0,1,1,0,0,0,0,0,0,0
604070307,0,0,0,0,0,0,0,0,0,0,0
604070308,0,0,0,0,0,0,0,0,0,0,0
604070309,0,0,0,0,0,1,0,0,0,0,0
604070310,0,0,0,0,0,0,0,1,0,1,0
604070311,0,0,0,0,0,0,0,0,0,0,0
604070312,0,0,0,0,0,0,0,0,0,0,0
604070313,0,0,0,0,0,0,0,0,0,0,0
604070314,0,0,0,0,0,0,0,0,0,0,0
604070315,0,0,0,0,0,0,0,0,0,0,0
604070316,1,0,0,0,0,0,0,0,0,0,0
604070317,0,0,0,0,0,0,0,0,0,0,0
604070318,0,0,0,0,0,0,0,0,0,0,0
604070319,1,0,0,0,0,0,0,0,0,0,0
604070320,0,0,0,0,0,0,0,0,0,0,0
604070321,0,0,0,0,0,0,0,0,0,0,0
604070322,0,0,0,0,0,0,0,0,0,0,0
604070323,1,1,0,0,0,0,0,0,0,0,0
604070324,0,0,0,0,0,0,0,0,0,0,0
604070325,0,0,0,0,0,0,0,0,0,0,0
604070326,0,0,0,0,0,0,0,0,0,0,0
604070327,0,0,0,0,0,0,0,0,0,0,0
604070328,0,0,0,0,0,0,0,0,0,0,0
604070329,0,0,0,0,0,0,0,0,0,0,0
604070330,0,0,0,0,0,0,0,0,0,0,0
604070331,0,0,0,0,0,0,0,0,0,0,0
604070332,1,0,0,0,0,0,0,0,0,0,0
604070333,0,0,0,0,0,0,0,0,0,0,0
604070334,0,0,0,0,0,0,0,0,0,0,0
604070335,0,0,0,0,0,0,0,0,0,0,0
604070336,2,0,0,0,0,0,0,0,0,0,0
604070337,0,0,0,0,0,0,0,0,0,0,0
604070338,0,0,0,0,0,0,0,0,0,0,0
604070339,0,0,0,0,0,0,0,0,0,0,0
604070340,0,0,0,0,0,0,0,0,0,0,0
