D_INTERVIEW,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41
840071212,4,3,2,3,3,3,3,2,3
840071213,4,2,4,3,4,3,2,3,3
840071214,4,3,4,1,3,3,2,2,2
840071215,4,4,4,3,4,1,3,2,4
840071216,3,3,3,3,3,3,3,2,4
840071217,3,2,4,5,2,2,1,2,2
840071218,4,2,4,2,4,3,1,3,4
840071219,4,3,4,3,3,2,5,2,4
840071220,3,3,4,5,3,2,2,3,4
840071221,4,4,4,1,1,1,1,1,1
840071222,3,2,4,3,3,3,3,3,5
840071223,4,4,4,2,4,3,2,3,3
840071224,4,2,2,3,4,4,2,2,4
840071225,3,3,3,2,3,3,3,2,4
840071226,3,3,2,3,3,2,2,3,4
840071227,2,2,3,4,3,3,4,2,3
840071228,4,4,4,1,3,4,3,3,4
840071229,3,2,3,3,3,2,2,3,3
840071230,4,2,3,3,4,3,3,3,4
840071231,4,4,2,1,3,3,5,2,1
840071232,3,3,3,4,4,4,4,4,4
840071233,4,2,4,1,5,3,3,2,4
840071234,4,2,4,3,3,3,3,3,2
840071235,4,2,4,1,5,2,4,4,4
840071236,4,2,4,3,2,3,3,4,5
840071237,3,2,3,2,2,3,2,3,2
840071238,4,4,4,1,4,3,3,3,4
840071239,4,2,4,1,3,2,2,2,3
840071240,4,2,3,2,4,3,2,2,4
840071241,4,4,4,1,3,3,1,2,3
840071242,4,2,3,2,3,3,2,3,3
840071243,4,4,4,1,4,4,4,2,2
840071244,4,2,3,1,3,2,3,2,3
840071245,3,2,-2,2,4,2,2,2,2
840071246,4,3,3,2,3,3,3,2,2
840071247,4,2,4,1,4,3,3,3,3
840071248,3,2,4,3,4,2,3,3,4
840071249,3,3,4,2,2,2,2,2,2
840071250,4,2,3,2,2,3,3,2,2
840071251,2,3,4,2,4,3,1,2,4
840071252,4,3,4,1,3,1,4,2,4
840071253,4,3,4,2,3,3,2,3,3
840071254,3,2,2,2,3,1,1,3,2
840071255,4,2,4,1,5,1,5,3,2
840071256,4,2,4,1,3,2,3,2,2
840071257,4,2,2,1,5,3,1,2,4
840071258,3,2,3,2,3,3,3,3,3
840071259,4,3,2,3,3,4,4,2,4
