D_INTERVIEW,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81
484070110,2,2,4,3,4,4,3,3,4,4,4,2,4,3,3,2,2,2
484070111,2,2,2,3,3,3,4,4,4,4,4,2,4,2,2,2,2,2
484070112,1,1,2,4,4,4,4,2,4,4,4,2,4,4,4,1,1,2
484070113,4,2,2,4,4,4,4,4,4,4,4,2,4,2,4,2,2,2
484070114,2,2,2,4,4,4,4,4,4,4,4,1,4,4,4,4,3,4
484070115,3,2,2,4,4,4,4,4,4,4,4,2,4,2,3,2,2,3
484070116,2,2,3,3,4,4,4,4,4,4,4,2,3,3,3,3,2,3
484070117,3,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,3,4
484070118,1,2,2,3,1,3,3,3,2,3,4,2,2,3,4,3,3,2
484070119,2,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,4,3
484070120,1,3,3,3,4,3,4,4,3,4,4,2,3,3,2,2,2,3
484070121,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
484070122,1,4,4,4,3,3,3,4,3,3,3,1,3,1,3,3,2,2
484070123,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,4
484070124,1,1,3,1,-1,1,1,1,3,3,-2,1,3,3,3,1,1,1
484070125,2,2,2,2,4,2,3,3,3,3,3,2,3,2,2,2,2,4
484070126,4,4,3,3,4,4,4,4,3,3,4,3,4,3,3,3,3,3
484070127,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,2,3,3
484070128,2,2,4,2,4,4,4,4,4,4,2,2,2,2,2,2,2,2
484070129,2,2,3,2,3,3,3,3,3,3,3,2,4,2,3,3,2,3
484070130,1,3,4,4,4,4,4,4,4,4,4,3,-1,-1,4,-1,1,1
484070131,2,3,2,2,3,3,3,3,3,3,3,2,3,2,2,2,2,2
484070132,2,2,2,2,4,3,3,3,3,3,3,2,3,3,2,2,2,2
484070133,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,4
484070134,3,3,3,2,4,4,4,4,4,4,4,2,3,3,2,4,2,3
484070135,2,2,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2
484070136,1,1,3,3,3,3,4,4,4,3,3,2,4,4,2,4,2,2
484070137,2,2,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,2
484070138,3,2,2,2,3,2,3,3,3,3,3,2,3,2,2,2,2,3
484070139,1,1,2,3,4,4,4,4,4,4,4,2,4,2,2,2,2,4
484070140,1,2,2,2,4,4,4,4,4,4,4,4,4,3,3,3,2,2
484070141,2,2,4,2,4,4,4,4,4,4,4,4,3,3,3,3,3,4
484070142,1,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,2
484070143,2,3,2,1,2,2,4,4,4,4,4,2,4,4,3,2,2,2
484070144,3,3,4,4,4,3,4,4,4,4,4,3,4,2,2,4,2,2
484070145,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3
484070146,4,4,3,2,3,3,3,3,3,3,4,2,4,3,2,2,-1,2
484070147,3,2,3,3,4,4,3,3,4,4,3,3,4,3,3,3,2,3
484070148,2,2,2,2,2,2,2,3,3,3,3,2,3,2,2,3,2,2
484070149,3,4,4,4,4,4,4,4,4,4,4,2,4,4,4,3,2,3
484070150,3,3,3,3,3,2,2,2,3,3,3,2,2,2,2,2,2,3
484070151,3,3,4,1,4,4,4,4,4,4,4,2,4,4,4,4,3,3
484070152,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
484070153,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2
484070154,1,3,3,4,3,4,4,4,3,3,4,3,3,4,4,4,2,2
484070155,4,2,3,3,4,3,3,4,4,3,3,1,3,2,2,1,1,1
484070156,1,2,1,3,4,3,3,3,2,2,1,3,3,3,2,1,2,3
484070157,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,3
