D_INTERVIEW,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81
51070151,1,1,4,3,4,1,4,1,4,1,3,-1,-1,4,4,-1,-1,4
51070152,1,4,4,4,-1,2,4,4,4,3,-1,-1,4,4,1,4,-1,-1
51070153,1,1,4,4,4,3,3,2,3,4,3,3,3,3,-1,-1,-1,-1
51070154,2,3,2,2,-1,3,3,3,3,3,3,2,2,2,2,-2,-2,2
51070155,2,2,4,4,4,3,3,3,3,3,3,2,4,3,2,2,2,2
51070156,1,1,4,4,-1,4,4,4,4,4,-1,2,3,2,4,-1,-1,1
51070157,3,2,4,3,4,2,4,1,4,3,4,3,4,1,2,2,-1,1
51070158,2,2,4,4,3,2,3,3,3,3,3,3,3,4,3,3,3,2
51070159,1,1,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3
51070160,1,1,3,3,3,1,2,3,3,3,3,2,3,4,3,3,2,1
51070161,1,1,3,2,3,2,2,4,4,4,3,2,4,3,3,3,3,3
51070162,1,1,4,4,4,1,3,3,3,4,3,2,3,1,3,4,4,3
51070163,3,3,4,4,3,3,3,4,4,4,2,2,3,2,2,2,2,3
51070164,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
51070165,3,1,4,4,4,2,2,2,2,2,2,3,2,2,2,1,-1,1
51070166,3,2,3,3,3,4,3,4,4,3,3,3,3,4,2,2,3,3
51070167,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,3
51070168,3,1,4,4,4,3,3,4,4,4,3,2,4,3,2,3,3,3
51070169,2,3,3,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2
51070170,3,3,3,4,4,2,2,3,4,3,3,2,3,3,2,3,3,2
51070171,2,2,3,3,3,3,3,3,4,4,2,2,4,3,3,2,2,2
51070172,2,1,3,3,3,3,3,2,3,3,3,2,3,3,2,2,2,2
51070173,3,3,4,2,4,2,2,2,4,3,3,2,2,4,4,2,2,2
51070174,2,2,4,4,-1,4,4,4,4,4,2,2,4,4,4,4,4,4
51070175,2,2,3,3,3,4,3,4,3,4,2,2,3,2,2,3,2,3
51070176,2,2,4,3,3,2,3,2,2,2,2,2,2,2,2,2,-1,2
51070177,1,1,3,2,3,3,3,1,2,3,1,1,1,2,3,2,2,2
51070178,2,2,4,2,4,2,3,2,4,3,2,2,2,2,2,4,2,3
51070179,2,1,4,2,-1,4,4,4,1,1,4,3,1,1,1,4,3,2
51070180,1,3,3,3,3,2,2,3,2,4,2,3,4,4,3,3,3,4
51070181,1,1,2,4,-1,2,2,4,2,4,1,1,2,2,-1,2,4,1
51070182,4,1,4,4,4,2,2,4,4,4,2,2,2,2,2,2,-1,4
51070183,2,1,-1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1
51070184,3,2,4,4,4,3,4,3,4,4,2,1,4,2,2,3,4,2
51070185,2,2,3,4,3,3,3,3,3,3,2,2,3,-1,2,3,2,2
