D_INTERVIEW,Q165,Q166,Q167,Q168
276070450,1,2,1,1
276070451,2,2,2,2
276070452,2,2,2,2
276070453,2,2,2,2
276070454,2,2,2,2
276070455,1,1,1,1
276070456,2,2,2,2
276070457,1,2,2,2
276070458,1,1,1,1
276070459,1,2,2,2
276070460,1,2,2,2
276070461,1,1,1,1
276070462,2,2,2,2
276070463,1,1,2,2
276070464,1,2,2,2
276070465,1,2,-1,-1
276070466,1,2,2,2
276070467,1,2,2,2
276070468,1,1,1,1
276070469,2,1,2,2
276070470,2,2,2,2
276070471,2,2,2,2
276070472,1,1,1,1
276070473,2,2,2,2
276070474,2,2,2,2
276070475,1,1,2,2
276070476,1,1,2,1
276070477,2,2,2,2
276070478,1,1,1,1
276070479,1,1,1,1
276070480,1,1,1,1
276070481,1,2,2,1
276070482,2,2,2,2
276070483,2,2,2,2
276070484,1,1,2,1
276070485,2,2,2,2
276070486,1,2,2,2
276070487,1,1,2,1
276070488,2,2,2,2
276070489,1,1,1,1
276070490,1,2,2,2
276070491,2,2,2,2
276070492,1,2,2,2
276070493,-1,-1,-1,-1
276070494,1,1,2,1
276070495,2,2,2,2
276070496,1,1,1,1
276070497,2,2,2,2
276070498,2,2,2,2
276070499,1,1,2,2
276070500,1,1,1,1
276070501,1,1,1,1
276070502,1,1,1,1
276070503,2,2,2,2
276070504,2,2,2,2
276070505,2,2,2,2
276070506,1,1,1,1
276070507,2,2,2,2
276070508,1,2,1,1
276070509,1,1,2,2
276070510,1,2,2,2
276070511,2,2,2,2
276070512,2,2,1,2
276070513,-1,2,2,2
276070514,2,2,2,2
276070515,1,1,2,2
276070516,1,-1,2,2
276070517,1,1,1,1
276070518,1,1,1,2
276070519,1,1,2,2
276070520,1,1,2,1
276070521,1,1,-1,2
276070522,-1,-1,-1,-1
276070523,1,2,1,-1
276070524,1,-1,2,2
276070525,1,1,2,1
276070526,1,1,2,1
276070527,1,2,2,2
276070528,1,1,2,2
276070529,-2,-2,2,2
276070530,1,1,2,2
276070531,2,2,2,2
276070532,1,2,2,2
276070533,1,2,2,2
276070534,-2,-2,-2,-2
276070535,1,1,1,1
276070536,2,2,2,2
276070537,1,2,2,2
276070538,1,2,2,2
276070539,1,1,1,1
276070540,1,1,1,1
276070541,1,2,2,1
276070542,2,2,2,2
276070543,2,2,2,2
276070544,2,2,2,2
276070545,2,2,2,2
276070546,1,1,2,2
276070547,1,1,2,1
276070548,1,1,2,2
276070549,1,-1,2,1
276070550,2,2,2,2
276070551,2,2,2,2
276070552,-1,-1,2,2
276070553,1,1,2,1
276070554,1,1,1,1
276070555,2,2,2,2
276070556,1,1,2,2
276070557,2,1,2,2
276070558,1,2,2,2
276070559,1,1,2,2
276070560,1,1,2,2
276070561,1,2,2,1
276070562,1,2,2,1
276070563,2,2,2,2
276070564,1,2,2,2
276070565,1,1,1,1
276070566,2,2,2,2
276070567,2,2,2,2
276070568,2,2,2,2
276070569,1,2,2,2
276070570,1,1,2,1
276070571,1,1,2,2
276070572,1,1,1,1
276070573,1,2,2,1
276070574,1,1,2,2
276070575,1,1,2,2
276070576,2,2,2,2
276070577,2,2,2,2
276070578,1,2,2,2
276070579,1,2,2,2
276070580,2,1,2,2
276070581,1,1,2,1
276070582,1,2,2,2
276070583,1,1,1,1
276070584,1,1,2,1
276070585,1,1,2,-1
276070586,2,2,2,2
276070587,-1,2,2,2
276070588,1,1,1,1
276070589,1,1,-1,-1
276070590,1,1,2,1
276070591,1,1,1,1
276070592,1,1,1,1
276070593,2,2,2,2
276070594,2,1,2,2
276070595,1,2,2,2
276070596,2,2,2,2
276070597,2,2,2,2
276070598,2,2,2,2
276070599,1,1,2,2
276070600,2,2,2,2
276070601,2,2,2,2
276070602,2,1,2,1
276070603,2,2,2,2
276070604,1,1,1,1
276070605,1,2,1,1
276070606,1,2,-1,-1
276070607,-1,-1,2,2
276070608,2,2,2,2
276070609,1,1,1,1
276070610,1,2,2,2
276070611,1,1,2,1
276070612,1,1,2,2
276070613,1,2,2,1
276070614,2,2,2,2
276070615,2,2,2,1
