D_INTERVIEW,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,Q102,Q103,Q104
51070193,0,0,0,0,0,0,0,0,0,0,0
51070194,0,0,0,0,0,0,0,0,0,0,0
51070195,0,0,0,0,0,0,0,0,0,0,0
51070196,0,0,0,0,0,0,0,0,0,0,0
51070197,0,0,0,0,0,0,0,0,0,0,0
51070198,2,0,0,0,0,0,0,0,0,0,0
51070199,0,0,0,0,0,0,0,0,0,0,0
51070200,0,0,0,0,0,0,0,0,0,0,0
51070201,0,1,2,0,0,0,2,0,0,0,0
51070202,0,0,0,0,0,0,0,2,0,0,0
51070203,2,2,2,1,1,1,1,2,1,1,1
51070204,2,0,0,0,0,0,0,0,1,0,0
51070205,2,1,1,1,0,1,1,1,1,1,0
51070206,1,1,2,0,0,1,1,1,0,1,0
51070207,1,2,1,1,0,2,1,1,1,1,1
51070208,0,0,0,0,0,0,0,0,0,0,0
51070209,0,0,0,0,0,0,0,0,0,0,0
51070210,0,0,0,0,0,0,0,0,0,0,0
51070211,0,0,0,0,0,0,0,0,0,0,0
51070212,0,2,2,0,2,2,2,2,0,0,0
51070213,1,0,0,0,1,0,0,0,0,0,0
51070214,0,0,0,0,0,0,0,0,0,0,0
51070215,0,0,0,0,0,0,0,0,0,0,0
51070216,0,-1,0,-1,0,0,0,0,0,0,0
51070217,0,0,0,0,0,0,0,0,0,0,0
51070218,0,0,0,0,0,0,0,0,0,0,0
51070219,2,0,0,0,0,0,0,0,0,0,0
51070220,0,0,0,0,0,0,0,0,0,0,0
51070221,0,0,0,0,0,0,0,0,0,0,0
51070222,0,1,0,0,0,0,0,0,0,0,0
51070223,0,0,0,0,0,0,0,0,0,0,0
51070224,0,0,0,0,0,0,0,0,0,0,0
51070225,0,0,0,0,0,0,0,0,0,0,0
51070226,0,0,0,0,0,0,0,0,0,0,0
51070227,0,0,0,0,0,0,0,0,0,0,0
51070228,0,0,0,-1,0,0,0,0,0,0,0
51070229,0,0,0,0,0,0,0,0,0,0,0
51070230,0,0,0,0,0,0,0,0,0,0,0
51070231,0,0,0,0,0,0,0,2,0,0,0
51070232,1,0,0,0,0,0,0,0,0,0,0
51070233,1,0,0,0,0,0,0,0,0,0,0
51070234,0,0,0,0,0,0,0,0,0,1,0
51070235,0,0,0,0,0,0,0,0,0,0,0
51070236,0,0,0,0,0,0,0,0,0,0,0
51070237,0,0,0,0,0,0,0,0,0,0,0
51070238,1,1,1,0,0,0,0,0,0,0,0
51070239,0,0,2,0,0,0,2,0,0,0,0
51070240,0,0,0,-1,0,0,1,1,0,0,1
51070241,0,0,0,0,0,0,0,0,0,0,1
51070242,0,0,0,0,0,0,0,0,0,0,0
51070243,0,0,0,0,0,0,0,0,0,0,0
51070244,0,0,0,0,0,0,0,0,0,0,0
51070245,0,0,0,0,0,0,0,0,0,0,0
51070246,0,0,0,0,0,0,0,0,0,0,0
51070247,0,0,1,0,0,0,0,0,0,0,0
51070248,0,0,1,0,0,0,0,2,0,2,1
51070249,1,0,0,0,0,0,0,0,0,0,0
51070250,1,1,2,0,0,0,2,2,0,1,2
51070251,1,1,1,0,0,0,0,0,0,0,0
51070252,0,0,0,0,0,0,0,0,0,0,0
51070253,0,0,0,0,0,0,0,0,0,0,0
51070254,1,0,0,0,0,0,0,0,0,0,0
51070255,0,0,0,0,0,0,0,0,0,0,0
51070256,2,0,0,0,0,0,0,0,0,0,0
51070257,0,0,0,0,0,0,0,0,0,0,0
51070258,1,1,1,1,1,2,2,2,0,2,0
51070259,0,0,0,0,0,1,0,0,0,0,0
51070260,2,1,2,0,0,1,2,2,1,2,1
51070261,2,1,1,0,0,1,2,2,1,1,1
51070262,2,0,1,0,0,0,0,0,0,0,0
51070263,2,2,2,0,0,0,0,0,0,0,0
51070264,2,1,1,1,0,0,0,0,0,0,0
51070265,1,1,1,1,0,0,0,0,0,0,0
51070266,2,0,0,0,0,0,0,0,0,1,0
51070267,0,0,0,0,0,0,0,0,0,0,0
51070268,0,0,0,2,0,0,0,0,0,1,0
51070269,0,0,0,0,0,0,0,0,0,0,0
51070270,0,0,0,0,0,0,0,0,0,0,0
51070271,0,0,0,0,0,0,0,0,0,0,0
51070272,0,2,0,0,1,0,0,0,0,0,0
51070273,2,0,0,0,0,0,0,0,0,0,0
51070274,1,0,0,0,0,0,0,0,0,0,0
51070275,0,0,0,0,0,0,0,0,0,0,0
51070276,0,0,0,0,0,0,0,0,0,0,0
51070277,0,0,0,0,0,0,0,0,0,0,0
51070278,0,0,0,0,0,0,0,0,0,0,0
51070279,0,0,0,0,0,0,0,0,0,0,0
51070280,0,0,0,0,0,0,0,0,0,0,0
51070281,0,0,0,0,0,0,0,0,0,0,0
51070282,0,0,0,0,0,0,0,0,0,0,0
51070283,0,0,0,0,0,0,0,0,0,0,0
51070284,0,0,0,0,0,0,0,0,0,0,0
51070285,0,0,0,0,0,0,0,0,0,0,0
51070286,0,0,0,0,0,0,0,0,0,0,0
