D_INTERVIEW,Q165,Q166,Q167,Q168
300070567,1,2,2,2
300070568,1,1,1,1
300070569,2,2,2,2
300070570,1,2,2,2
300070571,1,2,2,2
300070572,1,2,2,1
300070573,1,-1,-1,1
300070574,1,2,2,1
300070575,1,2,2,2
300070576,1,2,2,2
300070577,1,2,2,2
300070578,1,2,2,2
300070579,1,2,2,2
300070580,1,2,2,2
300070581,1,2,2,2
300070582,1,1,1,1
300070583,1,1,1,1
300070584,1,1,1,1
300070585,1,-1,-1,-1
300070586,1,1,1,1
300070587,1,1,1,1
300070588,1,1,1,1
300070589,1,1,1,1
300070590,1,1,1,1
300070591,2,2,2,2
300070592,2,2,2,2
300070593,1,1,1,1
300070594,1,1,1,1
300070595,2,2,2,2
300070596,1,2,2,2
300070597,1,1,1,1
300070598,2,2,2,2
300070599,1,1,1,1
300070600,1,2,2,2
300070601,1,2,2,2
300070602,1,2,2,2
300070603,1,2,2,2
300070604,1,1,1,1
300070605,1,1,2,2
300070606,1,2,2,2
300070607,1,2,2,2
300070608,1,2,2,2
300070609,1,2,2,2
300070610,1,1,2,2
300070611,1,1,1,1
300070612,1,2,2,2
300070613,1,1,1,1
300070614,1,1,1,1
300070615,2,2,2,2
300070616,1,2,2,2
300070617,1,1,1,1
300070618,1,2,2,2
300070619,1,1,1,1
300070620,1,2,2,2
300070621,1,1,1,1
300070622,1,1,1,1
300070623,1,1,1,1
300070624,1,1,1,1
300070625,1,1,1,1
300070626,1,2,2,2
300070627,1,2,2,2
300070628,1,1,1,1
300070629,1,1,1,1
300070630,1,1,1,1
300070631,1,2,2,2
300070632,1,1,1,1
300070633,1,1,1,1
300070634,1,1,1,1
300070635,1,1,1,1
300070636,1,1,1,1
300070637,1,1,1,1
300070638,1,1,1,1
300070639,2,2,2,2
300070640,1,1,1,1
300070641,1,2,2,2
300070642,1,1,1,1
300070643,1,1,1,1
300070644,1,1,1,1
300070645,1,1,2,2
300070646,1,1,1,1
300070647,1,2,2,2
300070648,1,1,1,1
300070649,1,1,1,1
300070650,1,2,2,2
300070651,1,2,2,2
300070652,1,2,2,2
300070653,1,2,2,2
300070654,1,1,2,2
300070655,1,1,1,1
300070656,1,1,2,2
300070657,1,2,2,2
300070658,1,1,1,1
300070659,1,2,2,2
300070660,1,2,2,2
300070661,1,1,1,1
300070662,1,1,2,2
300070663,1,1,2,2
300070664,1,2,2,2
300070665,1,2,2,2
