D_INTERVIEW,Q132,Q133,Q134,Q135,Q136,Q137,Q138
604070554,1,2,4,3,3,2,2
604070555,1,2,4,4,3,3,3
604070556,3,2,4,3,3,4,4
604070557,2,2,4,3,3,3,4
604070558,3,3,4,2,3,3,4
604070559,4,4,3,3,4,3,3
604070560,3,3,4,2,2,3,3
604070561,3,3,4,3,4,4,4
604070562,4,3,4,3,3,3,4
604070563,4,3,4,3,4,4,4
604070564,2,3,4,4,3,4,4
604070565,4,3,4,3,3,4,3
604070566,3,4,3,4,3,4,3
604070567,2,3,4,3,3,4,4
604070568,3,3,4,4,3,3,4
604070569,2,4,3,4,3,3,4
604070570,4,3,4,4,4,3,4
604070571,3,4,-1,4,4,3,4
604070572,3,3,4,4,4,4,4
604070573,3,3,4,4,4,3,4
604070574,2,3,4,4,4,2,3
604070575,2,2,4,4,4,3,4
604070576,3,3,3,4,4,3,4
604070577,3,3,3,4,4,3,3
604070578,2,1,3,3,4,3,3
604070579,3,2,3,4,4,4,4
604070580,3,3,4,4,-1,4,4
604070581,3,2,4,4,4,2,-1
604070582,1,3,3,4,4,4,4
604070583,3,4,3,4,4,4,4
604070584,3,2,3,3,3,3,4
604070585,3,2,3,4,4,3,4
604070586,2,2,3,3,3,2,3
604070587,2,2,3,3,3,3,3
604070588,3,3,-1,4,4,3,3
604070589,2,2,4,4,4,4,4
604070590,2,2,4,4,4,2,4
604070591,2,4,4,4,4,4,4
604070592,3,3,4,4,4,4,4
604070593,2,4,4,4,4,4,4
604070594,3,4,4,4,4,4,4
604070595,2,4,4,4,4,4,4
604070596,3,3,4,4,4,3,4
604070597,3,4,4,4,4,3,3
604070598,3,3,4,4,4,4,4
604070599,3,2,4,4,4,3,3
604070600,3,3,4,4,4,3,4
604070601,4,4,3,4,4,3,3
604070602,3,3,4,4,4,4,3
604070603,3,4,4,4,4,4,4
604070604,1,3,4,4,4,4,3
604070605,3,3,4,3,4,4,4
604070606,4,4,4,4,4,4,4
604070607,3,3,4,4,4,4,4
604070608,1,2,4,3,3,3,3
604070609,1,2,4,3,4,3,4
604070610,2,2,4,4,4,3,3
