D_INTERVIEW,Q177,Q178,Q179,Q180,Q181,Q182,Q183,Q184,Q185,Q186,Q187,Q188,Q189,Q190,Q191,Q192,Q193,Q194,Q195
300070107,1.0,4.0,1.0,2.0,1.0,3.0,3.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0
300070108,1.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,6.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0
300070109,1.0,2.0,1.0,2.0,1.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0
300070110,1.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0
300070111,1.0,4.0,1.0,1.0,1.0,10.0,1.0,5.0,6.0,10.0,1.0,2.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0
300070112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0
300070113,1.0,4.0,1.0,5.0,1.0,-1.0,-1.0,6.0,8.0,10.0,1.0,5.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0
300070114,1.0,8.0,10.0,1.0,1.0,1.0,1.0,2.0,5.0,-2.0,8.0,10.0,1.0,8.0,1.0,6.0,-2.0,1.0,10.0
300070115,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
300070116,1.0,2.0,1.0,7.0,1.0,-1.0,7.0,7.0,9.0,10.0,3.0,10.0,1.0,1.0,1.0,1.0,10.0,1.0,8.0
300070117,1.0,4.0,1.0,1.0,1.0,-1.0,-1.0,5.0,6.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0
300070118,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
300070119,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0
300070120,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,4.0,1.0,1.0,1.0,1.0,-1.0,1.0,3.0
300070121,1.0,5.0,1.0,3.0,2.0,9.0,7.0,6.0,9.0,9.0,1.0,4.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0
300070122,3.0,7.0,1.0,2.0,2.0,5.0,3.0,7.0,9.0,9.0,2.0,7.0,1.0,2.0,1.0,1.0,8.0,2.0,5.0
300070123,2.0,3.0,1.0,5.0,2.0,6.0,4.0,6.0,8.0,6.0,1.0,4.0,1.0,1.0,1.0,2.0,7.0,2.0,8.0
300070124,4.0,6.0,1.0,2.0,2.0,1.0,1.0,6.0,8.0,4.0,1.0,7.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0
300070125,3.0,7.0,1.0,2.0,1.0,6.0,4.0,7.0,9.0,6.0,2.0,8.0,1.0,1.0,1.0,1.0,6.0,2.0,3.0
300070126,1.0,3.0,1.0,2.0,2.0,6.0,8.0,9.0,10.0,7.0,1.0,4.0,1.0,1.0,1.0,1.0,7.0,1.0,3.0
300070127,1.0,7.0,1.0,1.0,1.0,10.0,5.0,1.0,7.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,3.0
300070128,3.0,10.0,1.0,5.0,1.0,1.0,5.0,7.0,8.0,10.0,3.0,7.0,1.0,1.0,4.0,1.0,8.0,3.0,8.0
300070129,3.0,8.0,1.0,2.0,2.0,7.0,5.0,4.0,8.0,6.0,1.0,4.0,1.0,1.0,1.0,1.0,6.0,2.0,7.0
300070130,1.0,3.0,1.0,2.0,1.0,2.0,2.0,5.0,5.0,8.0,1.0,10.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0
