D_INTERVIEW,Q132,Q133,Q134,Q135,Q136,Q137,Q138
484070243,2,3,3,3,2,4,4
484070244,2,2,4,4,4,4,4
484070245,3,2,4,4,4,4,4
484070246,3,2,1,3,1,1,3
484070247,2,3,1,3,4,3,1
484070248,1,1,3,3,2,1,3
484070249,2,2,4,4,2,4,4
484070250,3,2,4,4,4,3,4
484070251,2,2,4,4,2,4,4
484070252,2,3,4,1,3,2,4
484070253,1,2,3,3,1,1,2
484070254,1,1,4,4,1,4,4
484070255,1,3,3,4,4,4,4
484070256,3,1,4,4,1,1,4
484070257,2,1,4,4,1,3,4
484070258,3,3,4,4,4,4,4
484070259,4,1,3,3,3,3,3
484070260,3,1,3,3,3,3,3
484070261,3,3,4,4,4,4,4
484070262,3,1,4,4,3,3,3
484070263,1,3,3,4,3,4,4
484070264,1,1,4,4,1,1,4
484070265,1,1,3,3,1,3,1
484070266,1,1,1,2,2,2,2
484070267,3,4,4,2,1,1,2
484070268,2,2,4,4,3,3,3
484070269,2,1,1,3,1,2,4
484070270,3,1,4,4,3,2,4
484070271,2,1,4,4,1,2,3
484070272,1,1,3,3,1,3,2
484070273,1,1,3,3,4,3,3
484070274,3,3,4,4,4,2,4
484070275,3,2,4,4,4,4,4
484070276,4,4,3,4,4,4,4
484070277,1,1,4,3,1,1,1
484070278,1,1,3,4,1,1,1
484070279,2,2,2,2,2,2,2
484070280,4,1,3,4,2,2,4
484070281,2,1,3,4,3,3,2
484070282,3,2,4,4,4,4,4
484070283,3,3,4,4,4,4,4
484070284,3,2,3,4,1,3,3
484070285,3,4,4,4,3,4,4
484070286,2,1,3,4,4,4,4
484070287,1,1,3,4,1,1,1
484070288,1,1,3,2,2,2,2
484070289,3,2,4,4,-1,3,4
484070290,1,1,3,3,1,1,1
484070291,3,2,4,4,3,3,4
484070292,2,1,2,4,3,2,1
484070293,2,3,4,3,3,3,3
484070294,2,2,3,4,2,1,1
484070295,3,3,4,3,3,3,3
484070296,2,1,2,3,3,3,3
484070297,3,3,3,4,4,4,4
484070298,1,1,4,4,1,1,1
484070299,2,1,3,4,4,4,4
484070300,3,3,3,4,4,4,4
484070301,2,2,1,1,1,1,4
484070302,3,2,3,3,2,3,3
484070303,1,1,1,1,1,1,1
484070304,4,1,2,4,1,2,4
484070305,4,2,4,4,4,4,4
484070306,3,3,4,4,4,4,4
484070307,3,2,4,4,3,4,4
484070308,3,3,4,3,3,3,4
484070309,3,2,4,3,2,3,3
484070310,1,1,1,1,1,1,1
484070311,1,1,3,3,1,2,1
484070312,1,1,2,2,2,2,2
484070313,1,1,4,3,2,1,3
484070314,3,3,4,4,4,4,3
484070315,2,1,4,4,2,4,4
484070316,2,2,4,3,2,1,3
484070317,1,1,3,4,1,1,2
484070318,3,2,3,4,3,3,3
484070319,3,3,4,4,4,4,4
484070320,3,3,4,4,4,4,4
484070321,2,1,3,3,3,2,3
484070322,2,1,4,4,1,2,3
484070323,1,2,4,4,3,3,4
484070324,2,2,2,2,2,2,2
484070325,4,4,4,4,4,4,4
484070326,4,4,4,4,4,4,4
484070327,2,1,2,3,3,4,4
484070328,2,2,2,4,4,4,4
484070329,3,4,4,4,4,4,4
484070330,4,4,4,4,4,4,4
484070331,2,2,3,4,4,3,3
484070332,2,3,3,3,4,4,4
484070333,4,2,2,4,4,2,2
484070334,4,1,3,4,4,1,4
484070335,2,1,4,4,4,2,4
484070336,3,1,4,4,4,3,4
484070337,1,1,3,3,1,3,2
484070338,1,1,1,4,1,1,2
484070339,2,1,2,3,1,1,2
484070340,1,1,1,2,1,1,1
