D_INTERVIEW,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81
300070110,2,2,3,3,4,3,-2,4,3,3,3,2,2,3,3,3,3,2
300070111,2,4,3,3,3,3,3,4,4,4,3,3,4,-2,3,4,3,3
300070112,1,1,4,4,3,2,2,4,4,4,3,2,3,4,4,3,2,2
300070113,3,3,2,3,4,2,1,4,4,1,2,1,1,2,2,2,2,2
300070114,4,3,4,4,4,2,4,2,4,4,4,2,2,4,4,2,2,2
300070115,1,1,4,3,3,2,2,3,3,3,2,2,3,4,2,2,3,4
300070116,3,1,3,3,2,4,4,2,3,2,4,1,1,3,3,2,1,1
300070117,2,2,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4
300070118,1,1,3,3,1,1,1,3,3,3,2,1,2,2,2,2,2,2
300070119,1,1,3,3,3,3,2,4,4,4,4,2,3,2,2,3,2,2
300070120,3,3,3,-1,4,3,3,4,4,4,3,4,4,4,4,3,3,3
300070121,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,2,3,2
300070122,2,2,3,3,-1,2,3,2,4,4,2,2,-1,2,4,3,3,3
300070123,3,3,4,4,4,3,4,4,4,4,4,3,4,3,4,3,3,4
300070124,1,3,4,3,3,2,-1,4,4,4,2,-1,4,3,3,2,3,-1
300070125,4,2,4,4,2,2,2,4,4,4,3,2,4,3,3,2,-1,4
300070126,3,3,4,3,4,2,3,4,4,4,3,2,3,3,3,3,3,3
300070127,4,4,4,4,4,4,3,4,4,4,3,2,3,2,3,2,3,2
300070128,4,3,4,4,4,3,4,4,4,4,3,3,3,4,4,3,3,4
300070129,2,3,4,3,4,2,3,3,4,4,3,2,1,3,4,2,3,3
300070130,2,2,4,4,3,3,3,4,3,3,3,3,2,3,4,2,2,3
300070131,2,2,3,3,3,2,2,3,3,3,2,2,2,2,2,2,2,2
300070132,3,2,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3
300070133,3,2,4,4,4,2,3,2,4,3,3,2,2,3,3,3,3,3
300070134,2,2,3,3,4,1,2,4,4,4,3,2,2,3,3,3,3,3
300070135,2,2,4,4,4,2,3,4,4,4,3,2,2,3,2,3,2,3
300070136,2,2,3,3,3,3,2,4,4,4,4,2,3,2,3,3,3,2
300070137,1,2,3,3,3,2,3,3,3,3,3,2,2,2,2,2,2,2
300070138,3,2,3,3,4,3,3,4,4,4,3,3,2,2,2,2,2,2
300070139,1,1,3,3,3,1,2,4,3,3,3,2,2,2,2,2,2,2
300070140,3,2,3,3,3,2,2,4,4,4,3,2,3,3,2,2,2,2
300070141,1,1,3,3,3,2,2,4,4,4,3,2,3,3,3,3,3,2
300070142,4,2,4,4,3,2,3,2,3,2,3,2,2,2,2,2,2,2
300070143,1,1,4,3,3,2,3,4,4,4,2,2,2,4,2,2,3,3
300070144,3,2,4,4,3,3,3,4,4,3,3,3,3,2,2,3,3,3
300070145,4,4,4,4,3,2,3,4,4,4,3,3,3,2,3,3,2,2
300070146,3,3,3,3,3,2,4,3,4,4,3,3,3,2,3,3,3,3
300070147,2,2,3,4,3,2,3,4,3,4,2,2,2,2,2,3,2,2
300070148,1,2,3,3,3,2,2,3,3,3,3,2,2,2,2,2,2,2
300070149,2,2,3,3,2,2,2,-2,-2,3,2,2,2,2,2,2,2,2
300070150,3,3,4,4,4,2,3,4,4,3,3,3,3,2,2,3,3,2
300070151,1,1,4,4,4,3,3,4,4,4,3,3,4,4,4,4,4,4
300070152,2,2,3,3,2,2,3,3,3,3,2,2,3,3,3,2,3,3
300070153,2,1,3,4,3,3,3,2,3,2,3,3,2,2,4,2,3,3
300070154,1,2,4,4,3,4,4,3,4,4,3,2,4,4,4,2,2,2
300070155,1,1,4,4,4,2,2,4,4,4,4,4,4,3,4,4,4,4
300070156,1,1,2,3,4,1,1,4,4,4,2,3,3,4,4,4,3,2
300070157,1,1,4,4,4,1,1,4,4,4,4,2,4,4,4,1,-1,2
300070158,1,2,3,3,2,4,4,3,4,3,3,2,3,3,2,3,3,3
