D_INTERVIEW,Q165,Q166,Q167,Q168
840071382,1,1,2,2
840071383,1,1,1,1
840071384,2,1,1,1
840071385,1,1,2,2
840071386,1,1,1,1
840071387,1,1,1,2
840071388,2,2,2,2
840071389,1,1,1,1
840071390,1,1,1,1
840071391,1,1,1,1
840071392,2,1,1,1
840071393,-2,-2,-2,-2
840071394,1,1,1,1
840071395,1,1,1,1
840071396,1,1,1,1
840071397,1,1,1,1
840071398,2,2,2,2
840071399,2,1,2,2
840071400,1,2,1,1
840071401,1,1,1,1
840071402,2,1,1,1
840071403,1,1,1,1
840071404,1,1,1,1
840071405,2,2,2,2
840071406,1,1,1,1
840071407,1,1,-2,-2
840071408,1,1,1,1
840071409,2,2,2,2
840071410,2,2,2,2
840071411,2,1,2,2
840071412,1,2,2,1
840071413,1,1,1,1
840071414,1,1,1,1
840071415,1,1,1,1
840071416,1,1,1,1
840071417,1,1,1,1
840071418,2,1,2,2
840071419,1,2,2,2
840071420,1,1,1,1
840071421,1,2,2,2
840071422,1,1,1,1
840071423,1,1,1,1
840071424,1,2,2,2
840071425,1,1,1,1
840071426,1,1,1,1
840071427,2,1,2,2
840071428,2,2,2,2
840071429,1,1,1,1
840071430,1,1,1,1
840071431,1,1,1,1
840071432,1,1,1,1
840071433,1,1,1,1
840071434,1,1,1,1
840071435,2,2,2,2
840071436,1,1,1,1
840071437,1,2,2,2
840071438,2,2,2,2
840071439,1,1,2,2
840071440,1,2,2,2
840071441,1,2,1,1
840071442,1,1,1,2
840071443,1,1,1,1
840071444,1,1,1,1
840071445,1,2,1,1
840071446,1,2,1,2
840071447,2,2,2,2
840071448,2,1,2,2
840071449,2,1,2,2
840071450,1,1,2,1
840071451,2,2,2,2
840071452,1,1,1,1
840071453,2,2,2,2
840071454,2,1,2,2
840071455,1,1,1,1
840071456,2,1,2,2
840071457,-2,-2,-2,-2
840071458,2,1,2,2
840071459,1,1,1,1
840071460,1,1,1,1
840071461,1,1,2,2
840071462,1,2,1,1
840071463,1,1,2,1
840071464,1,1,1,1
840071465,1,1,1,1
840071466,1,2,1,2
840071467,2,2,2,2
840071468,1,1,1,1
840071469,1,2,1,2
840071470,2,2,2,2
840071471,1,1,2,2
840071472,1,2,1,1
840071473,1,1,1,2
840071474,1,1,1,1
840071475,2,1,1,2
840071476,2,2,2,2
840071477,2,1,2,2
840071478,2,1,1,2
840071479,1,2,2,2
840071480,2,2,2,2
840071481,2,2,2,2
840071482,1,1,2,2
840071483,1,1,1,1
840071484,1,1,1,1
840071485,2,2,2,2
840071486,2,1,1,1
840071487,1,1,1,1
840071488,1,1,1,1
840071489,1,1,1,1
840071490,2,2,2,2
840071491,2,1,1,2
840071492,2,2,2,2
840071493,1,2,1,1
840071494,1,1,1,2
840071495,1,1,1,1
840071496,1,2,1,2
840071497,1,1,1,1
840071498,1,1,1,2
840071499,2,2,2,2
840071500,1,1,1,1
840071501,1,1,1,1
840071502,1,1,1,1
840071503,2,1,2,2
840071504,1,1,1,1
840071505,2,2,2,2
840071506,1,1,1,1
840071507,1,1,1,1
840071508,1,1,1,1
840071509,1,1,1,2
840071510,1,1,1,1
840071511,1,2,1,1
840071512,1,-2,-2,1
840071513,1,1,1,1
840071514,1,1,1,1
840071515,2,2,2,2
840071516,1,1,2,2
840071517,2,1,2,2
840071518,1,1,1,1
840071519,2,1,2,2
840071520,2,2,2,2
840071521,1,1,1,1
840071522,1,1,1,1
