D_INTERVIEW,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81
840071203,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3
840071204,1,3,3,2,1,1,3,3,1,3,2,3,-2,1,-2,-2,1,1
840071205,2,2,1,2,2,4,1,2,1,2,2,1,1,1,1,1,3,2
840071206,2,2,3,4,4,2,3,4,4,3,3,3,4,3,4,2,3,2
840071207,3,3,3,3,3,4,3,4,3,3,3,3,4,3,2,3,3,3
840071208,1,1,4,4,3,2,3,2,3,3,3,3,3,3,3,3,4,3
840071209,3,3,3,2,3,2,2,4,4,4,3,2,3,3,2,3,2,2
840071210,2,2,4,2,4,3,4,4,4,4,4,4,4,4,3,3,3,4
840071211,2,2,2,2,2,3,3,4,3,3,3,2,4,3,2,3,3,3
840071212,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3
840071213,2,3,3,3,3,2,3,3,3,3,3,2,4,3,2,2,2,2
840071214,2,2,3,3,3,2,3,3,3,3,3,2,2,2,2,2,2,2
840071215,2,4,4,4,4,4,3,4,4,4,4,3,4,4,3,4,3,2
840071216,3,4,3,4,3,3,3,4,3,3,3,3,4,4,3,2,2,2
840071217,3,4,4,3,4,4,4,4,4,4,4,2,4,4,3,3,3,2
840071218,3,3,3,3,3,3,2,2,3,3,3,3,3,4,3,3,3,4
840071219,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
840071220,2,2,3,3,-2,2,2,3,3,3,3,2,3,3,2,3,3,3
840071221,1,1,1,1,1,1,1,1,1,1,1,1,-2,1,1,1,1,1
840071222,3,2,3,3,3,2,2,2,3,3,2,3,3,3,3,3,3,3
840071223,3,2,3,3,3,2,2,2,3,3,3,2,3,3,2,2,2,3
840071224,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
840071225,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2
840071226,3,3,4,4,3,4,3,3,3,3,3,3,3,3,2,3,2,2
840071227,3,2,3,3,3,2,2,3,3,3,3,4,3,3,2,3,3,3
840071228,2,2,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3
840071229,1,1,3,1,3,2,2,2,3,3,2,3,3,4,4,4,3,2
840071230,3,2,4,4,3,4,3,3,4,3,3,2,3,4,3,3,3,3
840071231,2,2,4,4,2,1,2,3,4,4,1,1,4,3,2,3,3,4
840071232,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
840071233,3,1,3,3,3,1,2,3,3,3,3,2,3,2,2,3,3,2
840071234,2,2,4,4,4,2,2,2,3,4,4,4,4,4,2,4,3,4
840071235,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-2,1,2,2
840071236,2,1,3,3,3,2,3,4,3,3,3,2,3,3,2,2,2,3
840071237,1,1,3,3,3,2,2,3,3,3,3,2,3,2,2,3,3,3
840071238,3,2,3,2,2,2,2,2,3,2,4,2,2,2,2,2,2,2
840071239,3,1,3,3,3,4,3,2,3,3,3,2,3,4,1,2,2,2
840071240,3,1,3,3,3,1,1,2,3,3,3,3,3,3,3,3,3,3
840071241,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3
840071242,3,2,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3
840071243,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
840071244,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,-2
840071245,2,1,3,3,3,2,2,3,3,3,3,2,3,4,3,3,2,2
840071246,3,2,4,4,3,3,2,4,4,4,4,3,4,3,2,2,2,2
840071247,3,2,3,3,3,2,2,4,4,4,4,2,4,3,3,2,2,2
840071248,3,2,3,3,3,2,3,2,3,3,3,3,3,3,3,2,3,2
840071249,3,3,2,3,3,3,3,3,4,4,4,3,2,3,3,2,2,3
840071250,2,2,3,3,2,2,3,2,2,2,2,2,3,2,2,3,2,2
840071251,-2,3,4,2,4,4,4,4,4,4,4,3,4,4,3,3,3,3
840071252,4,2,2,2,2,2,2,3,3,3,3,2,3,3,3,1,1,1
840071253,4,1,4,3,3,2,3,2,2,3,3,3,3,2,2,2,2,3
840071254,4,1,4,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4
840071255,3,1,2,2,1,1,2,3,3,4,-2,2,2,1,3,1,2,2
840071256,2,2,3,3,2,3,3,4,3,3,3,2,3,2,2,3,2,2
840071257,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,3,3
840071258,2,1,3,3,2,3,3,3,3,3,3,2,3,3,3,3,2,2
840071259,2,2,3,3,2,2,3,4,3,3,4,3,4,3,3,3,2,2
840071260,2,1,3,3,3,3,2,4,4,4,3,1,4,4,2,3,3,2
840071261,1,3,3,3,2,4,2,4,3,3,3,2,3,3,1,2,2,2
840071262,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2
840071263,3,2,3,3,2,2,3,4,4,4,2,2,3,2,3,2,2,2
840071264,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
840071265,3,2,3,2,3,4,4,4,4,4,2,3,4,4,2,4,4,2
840071266,2,2,4,3,3,2,3,3,4,4,3,3,4,3,3,4,3,3
840071267,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
840071268,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
840071269,4,2,4,2,4,4,1,4,4,4,4,4,4,4,4,4,3,3
840071270,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
840071271,4,1,1,3,4,4,4,4,4,4,4,1,4,1,3,1,1,1
840071272,3,2,3,3,3,3,3,3,3,4,3,2,3,4,4,3,3,3
840071273,4,4,4,3,3,4,2,4,3,3,2,2,4,1,2,1,1,2
840071274,3,3,3,3,3,3,3,4,3,4,3,3,3,3,4,3,3,3
840071275,1,2,2,2,2,2,2,4,3,3,2,2,4,2,2,2,2,2
840071276,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3
840071277,2,2,3,3,2,2,2,3,3,3,3,2,3,3,3,2,2,2
840071278,2,2,2,2,2,2,2,3,3,2,2,2,3,3,3,3,2,2
840071279,2,2,3,2,3,3,3,3,3,3,3,2,3,2,2,3,2,2
840071280,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,2,2,3
840071281,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
840071282,3,2,3,3,3,3,2,4,3,3,3,3,3,2,3,3,3,3
840071283,3,1,4,4,4,2,3,2,4,4,4,4,2,2,3,4,4,3
840071284,3,3,4,4,4,2,3,4,4,4,4,3,3,3,3,3,3,2
840071285,2,1,3,3,3,2,1,3,4,3,3,2,3,2,2,2,2,2
840071286,1,1,4,4,-2,2,2,3,4,4,4,3,4,3,3,3,4,3
840071287,3,2,3,3,3,2,3,3,4,3,3,3,4,4,4,3,3,3
840071288,2,2,3,3,2,2,2,3,3,3,2,2,3,3,2,2,2,2
840071289,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
840071290,2,2,2,3,2,2,2,4,3,3,3,2,3,3,2,2,2,2
840071291,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
840071292,3,2,4,3,3,1,2,2,3,3,3,2,3,3,3,2,3,2
840071293,4,2,3,4,4,2,2,3,4,4,4,3,3,4,3,1,1,1
840071294,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
840071295,3,2,4,4,4,2,4,1,2,3,3,4,3,4,4,4,4,2
840071296,2,2,3,2,2,2,4,4,4,4,3,3,3,3,3,3,3,3
840071297,2,2,3,3,3,4,-2,4,4,4,4,4,-2,3,2,3,3,3
840071298,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3
840071299,2,2,4,3,2,2,3,4,4,4,3,2,4,2,2,3,3,2
840071300,4,1,3,3,3,3,3,3,4,4,3,3,3,3,2,3,3,3
840071301,3,2,4,3,3,2,2,3,3,3,3,3,3,3,2,3,3,3
840071302,2,2,4,3,3,2,3,4,4,4,3,2,4,3,2,3,2,2
840071303,2,2,4,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2
840071304,4,3,3,4,1,3,3,4,4,4,2,3,3,4,4,2,1,2
840071305,2,2,3,3,3,2,2,3,3,3,3,2,3,3,3,2,2,2
840071306,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,3,3,3
840071307,4,3,3,3,4,4,3,4,4,4,3,2,4,3,4,3,2,3
840071308,2,3,3,3,3,3,3,4,4,4,3,3,4,3,3,3,2,3
840071309,1,1,3,3,3,1,1,3,3,3,3,2,2,2,2,2,2,2
840071310,2,3,3,3,3,3,2,4,3,3,2,2,3,3,3,2,2,2
840071311,3,3,3,3,3,3,4,4,3,3,3,3,4,3,3,3,3,3
840071312,2,2,3,3,3,2,3,3,3,3,3,3,3,3,2,2,2,2
840071313,2,2,4,3,4,3,3,4,4,3,3,3,4,3,3,3,3,3
840071314,4,1,4,4,2,2,3,1,4,4,3,4,3,4,4,4,4,4
840071315,2,1,4,3,3,1,3,2,3,3,3,3,3,2,3,3,3,3
840071316,1,1,4,4,4,3,3,2,3,3,3,3,3,1,4,4,1,2
840071317,3,3,3,3,4,2,3,4,4,4,4,4,4,4,4,2,4,4
840071318,3,2,3,3,2,2,2,3,3,3,3,2,3,2,2,1,1,4
840071319,3,3,3,3,4,3,-2,4,3,3,4,2,4,3,3,3,3,2
840071320,2,2,4,4,3,2,3,3,4,3,2,2,4,3,2,2,2,2
840071321,2,2,4,4,3,3,3,3,4,3,3,4,3,4,4,4,4,4
840071322,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
840071323,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
840071324,4,3,3,3,3,2,2,4,4,4,3,3,4,3,3,2,2,3
840071325,3,3,3,4,4,4,4,3,3,3,3,3,4,3,3,4,4,4
840071326,3,1,4,3,3,1,2,3,3,3,3,3,3,3,3,3,3,3
840071327,3,4,4,4,4,3,3,3,4,3,3,3,4,4,4,4,4,2
840071328,1,2,4,4,3,3,3,4,4,4,4,3,3,2,3,3,3,3
840071329,2,1,2,3,3,2,1,2,3,2,2,2,3,2,2,2,2,2
840071330,2,2,3,3,3,2,2,2,3,3,3,3,3,3,2,2,2,2
840071331,2,2,2,3,2,3,2,4,3,3,3,2,4,2,2,3,2,2
840071332,3,3,3,3,3,3,3,4,3,3,3,3,3,4,4,3,3,3
840071333,2,2,3,3,2,2,2,3,2,2,2,2,3,3,2,1,1,2
840071334,2,2,3,3,3,3,3,4,3,2,3,2,4,3,3,2,3,3
840071335,4,3,3,3,4,3,3,4,4,4,3,2,3,4,4,3,3,3
840071336,2,1,3,1,2,1,1,2,3,3,2,1,1,1,1,1,1,1
840071337,3,3,4,4,2,2,2,3,3,3,2,2,4,3,3,1,1,3
840071338,1,1,3,3,2,3,3,3,3,3,2,2,3,4,2,2,2,2
840071339,3,2,4,3,2,2,3,3,3,4,3,2,2,2,3,1,2,1
840071340,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
840071341,3,3,3,3,2,3,3,4,3,3,3,3,3,3,3,3,2,3
840071342,3,2,3,3,3,2,2,3,3,3,3,3,3,2,3,3,3,3
