D_INTERVIEW,Q132,Q133,Q134,Q135,Q136,Q137,Q138
840071144,4.0,4.0,4.0,2.0,4.0,4.0,4.0
840071145,2.0,2.0,3.0,2.0,2.0,3.0,3.0
840071146,4.0,4.0,4.0,4.0,4.0,4.0,4.0
840071147,4.0,4.0,4.0,4.0,4.0,4.0,4.0
840071148,3.0,3.0,3.0,2.0,2.0,3.0,3.0
840071149,3.0,3.0,3.0,1.0,2.0,3.0,3.0
840071150,2.0,2.0,4.0,2.0,2.0,3.0,2.0
840071151,2.0,3.0,2.0,3.0,2.0,3.0,3.0
840071152,2.0,2.0,3.0,3.0,2.0,3.0,4.0
840071153,4.0,4.0,3.0,3.0,3.0,4.0,3.0
840071154,4.0,2.0,4.0,2.0,3.0,4.0,1.0
840071155,2.0,2.0,3.0,3.0,2.0,2.0,3.0
840071156,1.0,1.0,3.0,3.0,3.0,3.0,2.0
840071157,3.0,2.0,4.0,3.0,1.0,3.0,4.0
840071158,3.0,3.0,3.0,3.0,3.0,3.0,3.0
840071159,3.0,1.0,3.0,1.0,1.0,3.0,3.0
840071160,2.0,2.0,2.0,2.0,2.0,2.0,2.0
840071161,3.0,3.0,4.0,3.0,2.0,3.0,4.0
840071162,1.0,1.0,3.0,1.0,2.0,3.0,4.0
840071163,3.0,2.0,2.0,2.0,1.0,2.0,2.0
840071164,3.0,3.0,3.0,3.0,2.0,2.0,2.0
840071165,3.0,2.0,3.0,2.0,3.0,3.0,4.0
840071166,1.0,1.0,1.0,2.0,1.0,1.0,1.0
840071167,2.0,2.0,3.0,3.0,3.0,3.0,4.0
840071168,3.0,3.0,3.0,2.0,3.0,3.0,3.0
840071169,4.0,4.0,4.0,3.0,3.0,3.0,3.0
840071170,2.0,3.0,3.0,4.0,3.0,3.0,3.0
840071171,3.0,2.0,1.0,3.0,2.0,3.0,2.0
840071172,3.0,2.0,3.0,3.0,3.0,2.0,2.0
840071173,2.0,3.0,3.0,1.0,2.0,4.0,3.0
840071174,4.0,4.0,4.0,4.0,4.0,4.0,4.0
840071175,2.0,2.0,2.0,2.0,2.0,2.0,3.0
840071176,3.0,3.0,4.0,4.0,4.0,4.0,4.0
840071177,4.0,4.0,4.0,4.0,4.0,4.0,4.0
840071178,2.0,2.0,1.0,3.0,2.0,2.0,2.0
840071179,4.0,4.0,4.0,4.0,4.0,4.0,4.0
840071180,3.0,2.0,3.0,1.0,1.0,2.0,3.0
840071181,3.0,2.0,4.0,3.0,2.0,3.0,2.0
840071182,3.0,3.0,3.0,3.0,4.0,4.0,4.0
840071183,2.0,3.0,4.0,2.0,3.0,4.0,3.0
840071184,3.0,3.0,3.0,2.0,3.0,3.0,3.0
840071185,4.0,4.0,4.0,4.0,4.0,3.0,4.0
840071186,2.0,3.0,3.0,4.0,3.0,4.0,4.0
840071187,3.0,3.0,3.0,4.0,2.0,3.0,3.0
840071188,4.0,4.0,4.0,4.0,4.0,4.0,4.0
840071189,3.0,2.0,3.0,4.0,3.0,3.0,4.0
840071190,2.0,1.0,3.0,2.0,2.0,2.0,2.0
840071191,3.0,4.0,4.0,4.0,4.0,4.0,4.0
840071192,3.0,2.0,3.0,3.0,2.0,3.0,3.0
840071193,3.0,3.0,3.0,4.0,1.0,3.0,4.0
840071194,2.0,1.0,2.0,1.0,3.0,2.0,4.0
840071195,3.0,3.0,2.0,4.0,4.0,1.0,2.0
840071196,4.0,2.0,3.0,2.0,2.0,2.0,1.0
840071197,2.0,2.0,2.0,2.0,2.0,3.0,2.0
840071198,4.0,4.0,4.0,3.0,2.0,4.0,4.0
840071199,2.0,3.0,4.0,-2.0,-2.0,-2.0,-2.0
840071200,2.0,1.0,2.0,2.0,2.0,3.0,2.0
840071201,2.0,3.0,3.0,2.0,2.0,3.0,3.0
840071202,3.0,3.0,2.0,4.0,-2.0,2.0,2.0
840071203,3.0,2.0,1.0,1.0,4.0,2.0,3.0
840071204,1.0,3.0,2.0,2.0,3.0,-2.0,2.0
840071205,2.0,3.0,2.0,2.0,2.0,3.0,2.0
840071206,3.0,2.0,3.0,3.0,3.0,3.0,3.0
840071207,3.0,1.0,4.0,3.0,2.0,2.0,3.0
840071208,4.0,4.0,4.0,4.0,4.0,4.0,4.0
840071209,4.0,3.0,3.0,3.0,3.0,3.0,3.0
840071210,3.0,2.0,2.0,2.0,1.0,1.0,2.0
840071211,1.0,1.0,3.0,4.0,1.0,1.0,4.0
840071212,4.0,3.0,3.0,3.0,3.0,4.0,4.0
840071213,2.0,2.0,3.0,2.0,1.0,2.0,2.0
840071214,4.0,4.0,4.0,4.0,4.0,4.0,4.0
840071215,4.0,4.0,4.0,4.0,4.0,4.0,4.0
840071216,4.0,3.0,3.0,3.0,4.0,4.0,4.0
840071217,3.0,3.0,2.0,4.0,3.0,2.0,4.0
840071218,3.0,3.0,3.0,3.0,3.0,3.0,3.0
840071219,2.0,3.0,2.0,2.0,3.0,3.0,3.0
840071220,4.0,4.0,4.0,4.0,4.0,4.0,4.0
840071221,3.0,3.0,3.0,3.0,3.0,3.0,3.0
840071222,1.0,2.0,3.0,3.0,2.0,1.0,3.0
840071223,3.0,2.0,3.0,3.0,2.0,3.0,3.0
840071224,3.0,3.0,3.0,3.0,2.0,3.0,3.0
840071225,3.0,3.0,3.0,3.0,4.0,3.0,3.0
840071226,4.0,3.0,1.0,2.0,3.0,3.0,3.0
840071227,2.0,3.0,3.0,3.0,3.0,3.0,3.0
840071228,1.0,3.0,2.0,2.0,3.0,1.0,4.0
840071229,2.0,1.0,2.0,3.0,2.0,3.0,3.0
840071230,3.0,3.0,4.0,4.0,4.0,4.0,4.0
840071231,3.0,3.0,3.0,3.0,2.0,3.0,3.0
840071232,2.0,2.0,2.0,3.0,2.0,3.0,2.0
840071233,2.0,1.0,3.0,3.0,2.0,3.0,2.0
840071234,3.0,1.0,3.0,1.0,1.0,1.0,1.0
840071235,4.0,4.0,4.0,4.0,4.0,4.0,4.0
840071236,2.0,2.0,3.0,2.0,2.0,3.0,3.0
840071237,3.0,3.0,3.0,3.0,3.0,3.0,3.0
840071238,3.0,3.0,3.0,3.0,3.0,3.0,3.0
840071239,2.0,1.0,3.0,2.0,2.0,3.0,1.0
840071240,2.0,3.0,4.0,4.0,2.0,3.0,3.0
840071241,2.0,1.0,1.0,2.0,1.0,1.0,1.0
840071242,3.0,3.0,3.0,3.0,3.0,3.0,3.0
840071243,2.0,3.0,3.0,4.0,2.0,2.0,2.0
840071244,3.0,3.0,2.0,4.0,3.0,3.0,3.0
840071245,4.0,4.0,4.0,4.0,4.0,4.0,4.0
840071246,4.0,4.0,4.0,-2.0,4.0,4.0,3.0
840071247,3.0,3.0,3.0,3.0,3.0,3.0,3.0
