D_INTERVIEW,Q132,Q133,Q134,Q135,Q136,Q137,Q138
840071409,4,3,2,2,4,4,4
840071410,3,4,4,4,4,4,1
840071411,4,4,4,4,3,4,3
840071412,3,3,3,3,3,3,3
840071413,3,3,4,3,3,3,3
840071414,3,3,2,3,3,4,4
840071415,2,-2,4,3,3,3,3
840071416,2,2,3,3,2,3,3
840071417,4,3,4,4,4,3,4
840071418,3,4,4,3,4,4,4
840071419,3,1,2,1,2,2,1
840071420,3,4,4,4,4,4,4
840071421,3,4,4,2,3,3,2
840071422,2,1,2,2,1,1,2
840071423,3,2,3,3,3,3,3
840071424,4,4,4,4,4,4,4
840071425,2,2,3,3,2,2,2
840071426,4,4,4,3,4,4,4
840071427,3,3,4,4,4,4,4
840071428,2,3,4,4,3,4,3
840071429,2,3,2,2,1,1,2
840071430,3,3,4,4,3,4,4
840071431,3,3,3,2,4,4,3
840071432,3,3,4,3,3,3,3
840071433,3,2,3,3,2,3,3
840071434,4,3,2,1,4,4,4
840071435,3,2,2,3,3,3,3
840071436,3,3,3,1,2,4,3
840071437,4,4,4,4,4,4,4
840071438,3,3,3,3,3,3,3
840071439,3,2,3,3,3,2,4
840071440,3,3,4,2,3,4,4
840071441,3,2,2,1,1,2,2
840071442,2,1,3,2,2,2,3
840071443,3,3,3,2,3,3,3
840071444,3,3,3,3,3,3,4
840071445,2,2,2,3,3,3,3
840071446,3,2,3,2,2,2,4
840071447,3,3,3,3,3,3,3
840071448,2,1,3,2,2,3,3
840071449,4,4,4,4,4,4,4
840071450,4,4,4,4,4,4,4
840071451,1,1,2,1,1,1,2
840071452,2,1,3,2,1,3,1
840071453,3,2,3,2,2,3,2
840071454,4,4,4,4,4,3,4
840071455,2,2,3,2,1,1,2
840071456,2,3,3,2,3,3,4
840071457,3,3,3,3,3,3,3
840071458,4,4,4,4,4,4,4
840071459,3,4,4,4,4,4,4
840071460,3,2,4,2,2,3,2
840071461,1,3,4,2,3,3,3
840071462,1,1,1,3,2,2,2
840071463,2,2,3,2,2,2,3
840071464,3,3,4,3,3,2,4
840071465,1,2,2,3,2,2,2
840071466,3,4,4,3,4,4,4
840071467,2,2,3,3,2,2,2
840071468,4,3,4,4,3,4,4
840071469,2,2,2,2,2,2,2
840071470,3,3,2,3,3,3,2
840071471,3,3,3,3,3,3,3
840071472,3,3,3,3,3,4,3
840071473,1,1,1,3,1,4,4
840071474,4,4,4,4,4,4,4
840071475,2,1,2,3,2,1,1
840071476,4,4,4,2,3,4,3
840071477,4,4,4,3,4,4,3
840071478,4,2,4,4,2,4,4
840071479,4,3,4,4,4,4,4
840071480,2,1,3,3,1,2,3
840071481,3,3,2,2,3,3,3
840071482,1,1,2,1,1,1,1
840071483,2,2,3,3,3,3,3
840071484,4,4,4,4,4,4,4
840071485,4,2,3,2,2,4,4
840071486,3,2,2,2,1,3,3
840071487,3,2,4,3,2,3,3
