D_INTERVIEW,Q177,Q178,Q179,Q180,Q181,Q182,Q183,Q184,Q185,Q186,Q187,Q188,Q189,Q190,Q191,Q192,Q193,Q194,Q195
840071182,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2
840071183,5,3,1,1,6,10,2,6,8,10,3,2,1,2,1,1,7,1,8
840071184,4,8,1,1,1,10,1,1,1,10,1,5,1,1,1,1,8,3,10
840071185,1,1,1,1,1,9,1,1,9,9,1,1,1,1,1,1,10,1,5
840071186,7,7,6,2,5,5,3,1,7,5,9,3,1,1,3,1,1,1,1
840071187,5,6,6,1,6,4,1,1,5,7,6,5,1,1,7,7,5,6,3
840071188,2,3,1,1,1,10,1,9,10,9,1,10,1,1,1,1,5,1,10
840071189,5,5,10,1,1,1,10,10,10,6,10,6,10,10,10,10,6,6,7
840071190,1,1,1,1,4,10,2,7,7,10,5,1,1,1,1,1,7,1,5
840071191,1,1,1,1,1,8,1,6,8,8,1,2,1,1,1,1,6,2,7
840071192,3,5,1,5,1,6,3,1,6,4,1,1,1,1,1,1,4,1,5
840071193,3,5,2,5,3,9,5,5,6,10,4,4,1,6,5,3,9,5,5
840071194,3,3,1,1,1,5,2,5,6,9,4,5,1,7,6,1,8,8,10
840071195,4,7,5,4,6,4,5,5,5,6,5,4,5,8,5,6,4,8,7
840071196,2,1,1,2,1,10,8,8,8,10,7,7,1,1,3,1,10,1,4
840071197,5,5,5,5,1,10,5,10,10,10,5,10,1,1,5,3,10,5,1
840071198,6,4,4,10,3,10,6,1,8,10,4,10,1,4,5,1,10,5,6
840071199,4,4,4,5,9,9,3,9,8,7,8,3,6,9,9,7,8,4,8
840071200,1,1,1,1,1,1,7,1,5,6,1,1,1,1,1,1,1,1,1
840071201,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,9,3,7
840071202,2,4,4,4,4,9,2,4,8,8,5,4,8,9,4,6,5,9,8
840071203,1,6,1,7,1,9,9,5,8,8,9,9,3,2,1,1,9,4,5
840071204,5,6,4,4,5,5,6,7,7,4,7,7,7,5,6,7,6,5,7
840071205,5,4,3,5,4,4,5,4,4,4,4,4,4,4,6,3,4,4,6
840071206,2,2,1,2,1,1,1,1,5,1,1,5,1,5,1,1,1,1,1
840071207,5,5,1,1,1,5,1,1,10,5,1,1,1,5,1,1,5,1,5
840071208,1,1,1,1,1,1,1,1,4,4,1,1,1,1,5,1,1,5,9
840071209,1,5,1,1,1,10,1,5,6,7,1,2,1,1,1,1,6,1,7
840071210,4,6,5,1,3,4,4,4,5,3,1,2,1,1,4,5,6,4,2
840071211,1,10,1,1,1,10,1,6,10,10,5,10,1,5,1,1,10,1,1
840071212,3,1,3,1,1,5,2,5,5,7,5,1,1,3,5,1,5,2,5
840071213,1,5,1,1,1,3,1,2,6,7,4,4,1,1,3,1,3,4,5
840071214,5,5,1,1,1,8,1,1,3,8,1,1,1,1,1,1,6,1,8
840071215,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,5,1,1
840071216,3,3,4,5,3,5,5,5,5,5,5,5,2,1,5,5,5,1,5
840071217,5,5,5,5,5,5,5,5,5,5,5,5,10,1,1,1,6,1,5
840071218,4,6,2,5,2,1,2,5,6,5,1,4,1,1,1,2,6,2,6
840071219,1,5,1,1,3,1,1,1,5,5,2,5,1,1,1,1,2,2,4
840071220,1,2,2,2,1,2,1,2,3,3,3,2,1,1,3,3,3,1,7
840071221,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
840071222,5,5,1,3,1,5,4,4,6,5,4,6,1,1,1,1,6,1,8
840071223,6,4,4,3,3,8,4,4,4,8,5,4,1,1,2,2,6,4,4
840071224,2,2,1,1,1,3,1,1,4,4,1,1,1,1,1,1,3,1,1
840071225,1,1,1,1,1,5,5,8,8,6,1,7,1,1,7,1,7,1,1
840071226,3,5,3,3,2,1,1,5,5,1,2,4,1,5,5,1,3,1,2
840071227,5,5,10,1,1,1,1,1,4,5,1,1,1,1,1,1,5,1,7
840071228,6,7,2,5,2,3,1,1,3,5,8,2,1,1,3,4,2,4,1
840071229,1,5,1,1,1,5,1,1,5,5,1,1,1,1,1,1,5,1,5
840071230,5,5,1,1,5,5,5,5,5,5,5,5,1,1,1,1,5,1,7
840071231,2,3,5,7,4,5,6,6,6,7,5,5,6,10,3,5,4,5,6
840071232,5,5,5,5,4,6,4,5,5,6,5,4,4,5,5,5,5,5,7
840071233,1,1,1,1,1,10,1,5,6,6,5,6,1,1,4,1,6,1,7
840071234,1,5,1,1,1,3,1,1,3,9,6,1,1,1,1,1,10,1,7
840071235,5,2,1,1,3,6,4,7,7,7,4,7,1,1,2,1,6,5,5
840071236,3,1,1,1,1,1,1,1,4,1,1,5,1,1,1,1,1,1,1
840071237,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5
840071238,6,5,5,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5
840071239,7,4,8,1,2,3,4,5,6,7,8,9,1,1,2,1,10,7,4
840071240,1,1,1,1,1,5,1,7,6,3,4,7,1,1,1,1,2,1,8
840071241,5,5,1,5,-2,-2,-2,-2,7,7,5,4,1,5,5,5,1,1,6
840071242,1,1,1,1,1,5,1,1,6,7,1,1,1,1,1,1,7,1,7
840071243,2,5,3,4,4,5,4,2,2,5,1,1,1,1,1,1,2,1,2
840071244,4,6,7,4,5,4,9,4,4,10,4,8,4,1,1,4,7,8,10
840071245,5,5,1,1,1,2,1,1,6,6,1,6,1,1,1,1,5,1,10
840071246,5,5,1,1,1,8,2,10,7,10,5,6,1,1,2,1,8,2,7
840071247,10,8,1,5,1,10,1,5,5,5,5,5,1,1,1,1,5,1,5
840071248,5,5,5,1,1,5,5,5,5,5,1,5,1,1,3,1,5,5,5
840071249,5,5,5,5,5,5,5,2,3,5,4,5,5,3,3,2,5,5,5
840071250,4,4,2,3,4,6,4,5,6,7,4,5,4,4,4,3,6,4,5
840071251,5,7,2,1,4,5,4,4,3,7,1,4,10,10,10,10,4,-2,4
840071252,5,5,2,2,2,10,2,9,10,10,3,8,1,1,1,1,5,1,5
840071253,4,5,10,10,6,7,6,5,3,3,7,6,5,7,7,9,4,5,3
840071254,5,5,5,1,1,5,5,5,1,10,1,5,1,8,8,5,10,1,5
840071255,4,5,1,1,1,10,2,1,10,10,1,9,1,1,1,2,10,1,9
840071256,1,1,1,1,2,7,1,5,2,8,1,2,1,6,1,1,6,1,5
840071257,2,5,1,1,4,5,3,1,10,6,5,1,1,5,4,1,4,4,4
840071258,5,6,3,5,6,5,5,5,6,5,4,5,2,2,6,6,5,5,5
840071259,1,5,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1
840071260,8,9,4,8,3,10,5,1,10,3,1,1,1,1,1,1,7,5,7
840071261,3,5,1,1,4,8,1,5,5,2,1,1,1,1,1,1,5,1,5
840071262,5,5,2,1,2,2,2,2,5,8,2,3,3,3,3,2,3,2,5
840071263,2,5,3,3,8,10,4,7,7,8,2,8,1,1,1,1,5,2,6
840071264,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10
840071265,1,1,1,1,1,1,1,5,5,1,1,5,1,1,1,1,1,1,1
840071266,1,1,1,1,1,6,1,2,5,5,1,4,1,1,1,1,8,1,5
840071267,5,5,5,5,5,5,1,5,5,5,1,5,1,1,1,1,1,1,5
840071268,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6
840071269,1,2,1,1,1,10,2,5,9,9,4,8,1,1,6,1,8,3,6
840071270,1,1,1,1,1,1,5,1,10,10,1,1,1,1,5,1,5,5,5
840071271,1,5,1,5,1,10,5,7,10,10,1,10,1,1,1,1,10,1,10
840071272,1,1,1,1,1,10,5,5,5,5,1,5,1,5,5,1,5,1,5
840071273,4,5,3,1,1,10,5,5,5,5,1,1,1,5,5,1,10,5,2
840071274,1,1,1,1,1,1,1,6,5,5,5,5,1,1,5,1,3,1,5
840071275,3,7,1,2,3,8,1,1,9,9,1,1,1,1,2,1,1,1,9
840071276,7,5,6,6,1,3,5,7,5,5,2,2,1,7,3,1,5,5,5
840071277,5,7,3,1,5,6,1,1,7,5,5,5,1,1,4,5,10,4,7
840071278,5,5,5,5,5,5,5,5,5,5,1,6,1,1,1,1,5,1,1
840071279,5,6,5,2,9,1,3,4,8,5,2,4,1,1,1,1,8,3,7
840071280,5,5,5,5,7,6,6,7,7,7,6,6,5,5,5,5,5,5,5
840071281,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
840071282,5,5,5,3,5,5,5,5,5,5,1,4,1,1,1,1,1,1,1
840071283,1,1,1,1,1,5,1,1,5,6,1,1,1,1,1,1,6,1,9
840071284,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
840071285,5,5,1,1,1,10,6,3,1,8,1,6,1,3,1,1,5,1,3
840071286,1,1,1,1,1,10,1,5,5,5,3,5,1,1,1,1,5,1,5
840071287,10,10,10,10,10,1,10,1,1,1,1,10,10,10,10,-2,1,10,10
840071288,1,1,1,1,1,10,2,5,5,5,5,5,1,1,1,1,5,1,10
840071289,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5
